"","id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered","selection","method2","MOE","exposure_name","outcome_name"
"33","ukb-d-30020_irnt","ukb-b-12930","Weighted mode",234,-0.00297511826561558,0.00577448420767919,-0.0142928993419621,0.00834266281073093,0.606889140141238,FALSE,FALSE,"Tophits","Weighted mode - Tophits",0.77,"Haemoglobin concentration","Mouth/teeth dental problems: Dentures"
"24","ebi-a-GCST004603","ukb-b-14944","Weighted mode",175,-0.00159433829465555,0.00326678634926129,-0.00799712188439475,0.00480844529508365,0.626132492970516,TRUE,TRUE,"DF + HF","Weighted mode - DF + HF",0.76,"Platelet count","Operation code: appendicectomy"
"13","ebi-a-GCST004608","ebi-a-GCST005038","Penalised mode",128,-0.0199147513201005,0.053045908055143,-0.123882820635404,0.0840533179952029,0.707970826530924,TRUE,TRUE,"DF + HF","Penalised mode - DF + HF",0.82,"Granulocyte percentage of myeloid white cells","Allergic disease (asthma, hay fever or eczema)"
"9","ebi-a-GCST004629","ukb-b-12930","Simple mode",119,-0.00304782479177053,0.00880981280792968,-0.0203147406058524,0.0142190910223113,0.729990368024588,FALSE,TRUE,"HF","Simple mode - HF",0.84,"Neutrophil count","Mouth/teeth dental problems: Dentures"
"32","ukb-d-30020_irnt","ukb-b-18335","Penalised median",258,-0.00169235199148034,0.00536647673335222,-0.0122104531127228,0.00882574912976217,0.752491178879148,FALSE,FALSE,"Tophits","Penalised median - Tophits",0.75,"Haemoglobin concentration","Wheeze or whistling in the chest in last year"
"31","ukb-d-30020_irnt","ebi-a-GCST005038","Weighted mode",210,0.0121451724471815,0.0488111299144041,-0.0835228842297561,0.107813229124119,0.803744561316278,TRUE,TRUE,"DF + HF","Weighted mode - DF + HF",0.77,"Haemoglobin concentration","Allergic disease (asthma, hay fever or eczema)"
"10","ebi-a-GCST004629","ukb-b-11497","Simple mode",135,0.00156764837985768,0.00653348239425013,-0.0112377418064991,0.0143730385662145,0.810742881229463,TRUE,FALSE,"DF","Simple mode - DF",0.87,"Neutrophil count","Operation code: tonsillectomy +/- adenoids"
"36","ukb-d-30020_irnt","ukb-b-14944","Simple mode",233,0.0014672055892615,0.0104205442091927,-0.0189566857600636,0.0218910969385866,0.888150649293136,FALSE,TRUE,"HF","Simple mode - HF",0.72,"Haemoglobin concentration","Operation code: appendicectomy"
"5","ebi-a-GCST004627","ukb-b-7872","Weighted median",128,0.000460093233310829,0.00330239433280729,-0.00601248072174065,0.0069326671883623,0.889196411773735,FALSE,TRUE,"HF","Weighted median - HF",0.71,"Lymphocyte counts","Mouth/teeth dental problems: Bleeding gums"
"27","ieu-a-271","ukb-b-12930","Simple mean",30,0.000186929892598024,0.00161257955988618,-0.0029737260447789,0.00334758582997494,0.908515105548385,FALSE,FALSE,"Tophits","Simple mean - Tophits",0.84,"Mean cell haemoglobin","Mouth/teeth dental problems: Dentures"
"30","ieu-a-271","ukb-b-14944","Simple mean",30,0.000125144923368535,0.0012334794139325,-0.00229247472793916,0.00254276457467623,0.919886061154573,FALSE,FALSE,"Tophits","Simple mean - Tophits",0.9,"Mean cell haemoglobin","Operation code: appendicectomy"
"14","ebi-a-GCST004608","ukb-b-18335","Simple mode",119,-0.000336369276606366,0.00800261890790596,-0.0160212141181013,0.0153484755648886,0.966543909139872,FALSE,TRUE,"HF","Simple mode - HF",0.86,"Granulocyte percentage of myeloid white cells","Wheeze or whistling in the chest in last year"
"3","ebi-a-GCST004627","ukb-b-12930","Simple mean",145,-4.2784264874439e-05,0.00337388842459348,-0.00665560557707767,0.00657003704732879,0.98989985236999,FALSE,FALSE,"Tophits","Simple mean - Tophits",0.81,"Lymphocyte counts","Mouth/teeth dental problems: Dentures"
